full_text,sentimen
"Lahapnya Anak-anak TK di Pulau Terluar Natuna Menyantap MBG: Enak Sekali

Natuna - Di sebuah ruang kelas sederhana di Pulau Serasan, siang itu terasa berbeda. Satu per satu ompreng berisi makan bergizi gratis dibagikan kepada anak-anak taman kanak-kanak (TK). Mereka duduk rapi di https://t.co/teC7260CsD",positif
"1,5 juta lapangan kerja barundari Program Makan Bergizi Gratis (MBG) bukan cuma soal makan siang anak sekolah, tapi juga mesin penggerak ekonomi rakyat.  Presiden Prabowo yakin lewat 30.000 dapur MBG yang mempekerjakan 1,5 juta orang dan memberdayakan petani, nelayan, hingga UMKM https://t.co/oO5VdRXsD2",positif
"Makan Bergizi tanpa Ahli Gizi https://t.co/kIOTH0rxe6

Udah bener di awal “Makan Siang Gratis”.

Bawa2 gizi mah berat. 
Harus disertai edukasi.",positif
"Malam Guiz, besok udah #JumatBerkah lagi aja. Setelah minggu lalu bagi² minuman, besok aku kembali masak Ayam Geprek. Sudah full yak. Yg belum ada besok itu minumannya. Siapa tau ada yg mau nambahin, nanti minumannya dibelikan ke UMKM deketan Masjid. DM/mention silahkan 🙏🏼☺️ https://t.co/L9wykUVt6S",netral
Serius tanya itu pegawai MBG tau makan siang gratis yg katanya bergizi itu petugasnya BENERAN LULUSAN GIZI???!!!!!,negatif
"Program Makan Bergizi Gratis (MBG) telah menjadi salah satu ikhtiar negara yang paling strategis dalam membangun kualitas sumber daya manusia Indonesia melalui pemenuhan gizi yang lebih merata, terukur, dan terorganisasi.
https://t.co/W1bH2b212w",positif
keren pemerintah berhasil menyediakan MBG alias Makanan Beracun Gratis untuk rakyat yeyy,positif
"Program Makan Bergizi Gratis (MBG) bukan sekadar makan siang, tapi peluang emas untuk menggerakkan sektor pertanian https://t.co/wZFAjHT4hK",positif
"Program MBG memberi kontribusi penting dalam mendukung pertumbuhan dan pendidikan anak-anak di daerah terpencil
#MakanBergiziGratis #PapuaSehat #CerdasTanpaStunting https://t.co/xif8N4VYaV",positif
"""Setiap porsi makan siang bergizi bukan hanya soal makanan di piring, tapi juga investasi pada generasi mendatang."" https://t.co/ir9sAsrE8A",positif
"Pak Presiden @prabowo , ini sekolah swasta bisaaaaaaaaa… 

Lebih Sehat, Inilah Konsep Makan Siang Siswa Sekolah Swasta: Makanan yang Disajikan Dimasak di Lingkungan Sekolah. 

Di tengah polemik makan bergizi gratis yang kerap menimbulkan keracunan massal, pemerintah mungkin https://t.co/dqkIzlDFWr",positif
"Ini ada sekelumit cerita tentang sebuah dapur sekolah di Tasikmalaya yang udah berpengalaman menyediakan makan siang kepada siswa selama 20 tahun, tapi ditolak untuk menjadi Satuan Pelayanan Pemenuhan Gizi (SPPG) atau Dapur Makan Bergizi Gratis (MBG)...

Padahal dapur sekolah https://t.co/DBpqpBX1tX",positif
"Sebanyak lima guru dan karyawan serta 75 siswa SMP Negeri 10 Kota Magelang, Jawa Tengah, mengalami keracunan usai menyantap menu makan bergizi gratis (MBG)....

Gejala keracunan muncul setelah MBG disantap pada Rabu (21/1/2026) siang. Para siswa dan guru mengalami muntah dan https://t.co/IReZ8CSux4",netral
"MBG (Makan Bergizi Gengs) hari ini.

Kalian udah makan siang? https://t.co/XZbaciNEWN",netral
Tadi siang Makan Bergizi Gratis! https://t.co/AH1bA2vlal,positif
"PULUHAN siswa di Desa Sirnagalih, Kecamatan Cipongkor, Kabupaten Bandung Barat, mengalami keracunan usai mengonsumsi makan siang dari program Makan Bergizi Gratis (MBG), Senin (22/9).
https://t.co/90haZHLTud",netral
"Skandal Ayam Berlendir di Sukabumi: Makan Siang Gratis atau Racun Gratis?
Ayam Busuk untuk Siswa! Video viral memperlihatkan kondisi menjijikkan dari program Makan Bergizi Gratis (MBG) di SMP Cimanggu, Sukabumi.
((Clara Shinta, Pertalite, Andrie Yunus, Spanyol, Udang, Kaget)) https://t.co/wSb7rYcRTV",negatif
"India sudah mulai program makan siang gratis sejak tahun 1995! Gizi anak jadi prioritas, anggaran triliunan disiapkan. Indonesia baru mulai, bisa belajar dari India?

Via @detik_edu  https://t.co/tpOGDl3iFJ",netral
"Program Makan Bergizi Gratis (MBG) bukan hanya soal makan siang untuk anak sekolah. Ini adalah ekosistem harapan baru.
Dapur-dapur MBG menciptakan lapangan kerja bagi ibu-ibu lokal, petani mendapat pasar yang pasti, pengusaha kecil ikut bergerak.
Ketika perut anak kenyang, https://t.co/IqWZR5g6oO",positif
Prabowo Tuding Banyak Orang Takut MBG Berhasil https://t.co/oRJwJsU3NG,negatif
"Jika soalnya akses pangan terhadap makanan bergizi, makan siang gratis bukan jawaban jitu. Minimnya akses terhadap pangan bermutu akibat kemiskinan struktural.

#Tempodotco #TempoPlus https://t.co/OxfODyLl4d",negatif
Matcha matcha matcha happy MBG :b terimakaciiii pacarku https://t.co/C142hITF2T,positif
"@ardisatriawan Gila, no hope banget ini mah. Semua all in MBG wkwkwk",negatif
"MAKAN SIANG GRATIS: SOLUSI GIZI ATAU PROYEK BAGI-BAGI?
​Gizi anak bangsa bukan komoditas politik! Program ""Makan Bergizi Gratis"" terus digeber, tapi bau anyir monopoli mulai tercium. Munculnya nama-nama besar dan kedekatan lingkaran kekuasaan 
#PantauDapurMBG
(PPPK, GO LINE) https://t.co/HpVGJtWxO3",positif
"@txtdrbekasi Lah kg ngape beks, cuma setara 1 hari MBG pan",negatif
"Program Makan Bergizi Gratis (MBG) di Kota Madiun menjadi sorotan setelah 18 siswa SDN 01 Demangan diduga keracunan usai makan siang. Sebagian telah dipulangkan, sementara empat siswa masih dirawat.

Selengkapnya baca https://t.co/IN1Axe55hA https://t.co/1mRTDgg71z",netral
@ardisatriawan Keinget lagi kalau pendidikan hanya pendukung sementara MBG prioritas utama 😭 https://t.co/RD6ds0WHQ2,negatif
"Perum Bulog memastikan distribusi minyak goreng rakyat “MinyaKita” terus berkelanjutan sebagai upaya menjaga stabilitas pasokan dan harga pangan nasional. Bulog terus melakukan pengelolaan stok dan distribusi secara optimal sesuai penugasan pemerintah.
https://t.co/oPvVexrtja",netral
"Coba sebutin negara mana yg belajar MBG ke Indonesia? Biar nggak asal klaim aja. Gua yakin, hanya negara gila yg mau belajar MBG ke Indonesia. Apanya yg mau dipelajari dari MBG? Ketololan tatakelolanya? Pemborosannya? atau koncosimenya? Bego banget.",negatif
@weyesbleed @ellenzmis @vlskth @ramazaynworld Lah  MBG system safety nya gimana? Banyak yang keracunan mana tuh gak di suruh mundur,negatif
"@gojekindonesia Jumat pagi joging,sore nongki.Sabtu siang arisan,malam nonton bioskop.Minggu pagi kulineran,sore ngopi☕ pake kode promo GOWEEKEND diskon s.d. 40 Ribu tiap Jumat, Sabtu, Minggu #GiveawayGojek 
🏖️🏝️🏞️",netral
"Program Makan Bergizi Gratis (MBG) bukan sekadar memberi makan siang, tapi membuka peluang emas bagi sektor pertanian dan tenaga kerja lokal. Dari dapur sekolah hingga ladang petani, semuanya saling terhubung untuk membangun ekonomi bangsa. https://t.co/o291SgFN0o",positif
pak prabowo pas dateng kenikahan el sm syifa bawa kado apa ya? ompreng mbg kah? 😁,netral
"Program Makan Bergizi Gratis (MBG) bukan sekadar soal makan siang. Ini adalah investasi jangka panjang bangsa.
Gizi yang baik = konsentrasi meningkat, daya pikir tajam, kesehatan terjaga.
Dengan MBG, kita sedang mencetak generasi unggul, SDM yang kelak siap bersaing di tingkat https://t.co/5OGKRr52xV",positif
"@ferizandra Keracunan MBG terus berlanjut, Kepala BGN ngga ambil pusing, gass teross mau buka SPPG baru.

Peralatan dan Perlengkapan Kerja SPPG dibagus²in tapi Mutu Menu MBG tetap MENGKHAWATIRKAN dan MENAKUTKAN bagi para Siswa dan Orangtua.",negatif
"@PD_PurnaTugas_ @abdChoir218014 @BosPurwa Nama resmi programnya adalah **Makan Bergizi Gratis (MBG)** sesuai penetapan pemerintah &amp; Badan Gizi Nasional. 

""Program Makan Siang Anak Sekolah"" lebih deskriptif untuk bagian yang ditujukan ke siswa PAUD-SMA (yang memang pakai anggaran pendidikan), tapi MBG lebih lengkap",positif
"Sejak kampanye prabowo-gibran, tujuan utama program ini adalah janji ""makan siang gratis"" bagi para pendukungnya.
Berubah menjadi makan bergizi gratis supaya tidak ditentang dengan ""tidak ada makan siang gratis"".
Kita semua paham apa arti pepatah ""makan siang gratis"".",positif
"Setiap yang bernyawa akan merasakan MBG.
Selamat makan bergizi gratis moots di siang yang cukup panas ini. https://t.co/oBAKb40h6d",positif
"using kpop idol’s face even using fucking AI UNTUK KONTEN MBG it’s something i never would have imagined would happen APALG KE JAY SM SUNGHOON, BRENGSEK???? 😭😭😭 https://t.co/IEoCzCilda",negatif
"@BagusPerdana_ Oknum di Bappenas: MBG lebih penting daripada ngurusin Rupiah, wkkwkwk

Hidup MBG 💪💪
Ga masalah nalar jeblok asal perut kenyang.....bukan?",negatif
Investasi masa depan! Program Makan Bergizi Gratis (MBG) siap penuhi gizi anak sekolah demi cetak generasi unggul Indonesia Emas 2045 https://t.co/QWxg5GJn3R,netral
@xendless_s @chillindeed Makanya pemerintah lebih milih bungkam melalui MBG daripada menggratiskan sekolah sekolah,negatif
"@tempodotco Sebagai alumni Unhas, saya kecewa kampus yang isinya akademisi yang harusnya logis dengan kondisi MBG saat ini malah ikut²an. Agen perubahan berubah menjadi agen ikut²an.",negatif
"Program Makan Bergizi Gratis (MBG) meningkatkan permintaan pangan lokal, memperkuat rantai pasok berbasis komunitas, dan mendukung ketahanan pangan. Mari kita dukung bersama inisiatif ini untuk masa depan yang lebih baik! https://t.co/QqEwwJOwBC",positif
"@KapudS640 Gak apa2
Yg penting MBG tetap jalan.
Dan insentif 6juta/hari tetap jalan walau dapurnya ditutup.",positif
"Makan siang bersama, momen kebersamaan siswa yang berharga. Program Makan Bergizi Gratis (MBG) mempererat tali persaudaraan di sekolah.
_ https://t.co/hZ8mGQwBeE",netral
"mbg tudei...onigiri, yakitori, tamago https://t.co/EDIiEZ2puD",netral
@Polymarket Calm down we have free food everydays (MBG) 🤕,netral
Fak lah! Dapet bonus tapi potongan pajaknya argh!!!! Ga rela bayar pajak jadinya MBG,negatif
"OOT gaes akun X mu bakalan km wariskan gak??? 🙏🏻

siapa tau cucunya cucu cucu saya, cucunya cucunya nanti mau jbjb biar janjian kita dr sekarang  absen dong yg cucunya mau terusin X nya 🙏🏻

skalian cucu kita sambat MBG konsisten sampe 1000 tahun 🙏🏻🙏🏻🙏🏻",negatif
"Pemutaran film PESTA BABI di Mataram dibubarkan kepolisian.

Udah tau babi serem buat mayoritas WNI, harusnya judulnya diganti jadi PESTA KORUPTOR atau PESTA MBG atau PESTA DADAN. https://t.co/eSRqG6l0Ap",negatif
"Sumpah, rasanya pengen gua santet orang yang ngomong kalo MBG lebih penting dari lapangan kerja! 
Negeri ini sudah kronis penyakitnya! 😡 https://t.co/EnQMkxz4RC",negatif
"@Raizeeel_ Ini isian mbg balita anakku ka. Kesel aku ka. Itu ikan makin kecil Allahu Akbar. Trus saos. Yakali anakku usia 3,5 th dsuruh mkn saossssssssss haaaaaaa. Stop udh pling bner. https://t.co/4VnCLpHwKs",negatif
@vallegarr mbg,netral
"Next time aku pingin buat bubur kacang ijo🫠

Ada kenangan di dalam bubur kacang ijo itu. Dulu waktu kecil sering di bawa ke posyandu sama mama, Pulangnya suka dikasih bubur kacang ijo,roti ,2 butir telur rebus dan susu. Menurutku Itu lebih bergiji daripada menu MBG saat ini.",positif
Ada orang dongo ga bisa baca udh jelas2 hibah ke universitas malah dibilang pejabat. Dongo butuh MBG 2x lipat nih orang.,negatif
"@bangherwin @DPR_RI kan memang karena nggak sejalan sama keinginan partai dan pola pikirnya mereka, mangkanya gimana pun pasti harus dipaksa mundur. kalau MBG kan nanti mereka punya dapur sendiri, masa iya ngeludah di dapur sendiri",negatif
"""bos berapa budgeting-nya buat bikin 1 episode?""
""5 menit MBG""
""Okay..""",negatif
"Program MBG (Makan Bergizi Gratis) bukan sekadar tentang makan siang, tapi tentang masa depan anak Indonesia. Keberlanjutan program ini berarti memastikan setiap anak tumbuh sehat, cerdas, dan siap bersaing. https://t.co/uytChD88Xp",positif
"RUMAH MASIH BERDIRI, RINDU TAK PERNAH PERGI TAPI 5 BULAN INI, MEREKA BELUM BISA PULANG SEUTUHNYA.

PEMULIHAN ACEH LEBIH URGENT DIBANDINGKAN MBG WO https://t.co/ufzxT7T2Ce",positif
"Belajar supaya ngga negaranya terpuruk kayak Indonesia. Ini kayak kita yang dapat cobaan, tapi negara lain yang ambil hikmahnya.",negatif
"Makin kesini makin kesana...makin menginjak..
Viral Siswa SDN 2 Sanggau Angkut MBG, Warga Soroti Minimnya Petugas

Sanggau, 9 April 2026 – Siswa-siswi SDN 2 Sanggau mengangkut ompreng Makan Bergizi Gratis (MBG) secara mandiri viral di media sosial, Kamis (9/4) siang.

Dalam video https://t.co/0cKoYAnADO",netral
"mbg siang ini, baris jgn dorong dorong https://t.co/dOztXm8eiI",netral
"guys minta tolong bantu RT ya🥺🙏

open donasi jumat berkah berbagi rice bowl &amp; nasi cokot untuk jumat berkah besok yg akan dibagikan untuk panti, masjid, ojol, dan tunawisma. Tidak ada minimal order yaa temen-temen, boleh banget berbagi berapapun. 

📍Jakbar https://t.co/2qCrreo7tO",netral
"#MBG (Masakan Bini Gue)
Chicken Black Pepper

Selamat makan siang orang sukses.

Bayangin kalau kualitas MBG benar2 kayak gini: bersih, layak, bergizi, dibuat dengan standar yang jelas.
Mungkin yg ramai bukan berita keracunan,
tp cerita anak2 yg makan dgn aman &amp; sehat. https://t.co/2h9rYaqVN1",positif
"@djoniecash2 @kalistohenituse mbg, kopdes, sekolah rakyat udah jelas belum outputnya? 😭😭😭 kalo memang ada yang terbantu, apakah efektif &amp; tepat sasaran?",netral
"Ditambah lagi bergantinya pemerintahan yang mengusung program populis Makan Bergizi Gratis (MBG) yang turut memotong anggaran pendidikan dan dana transfer daerah. Ini membuat nasib guru semakin tragis.

Imbasnya, banyak guru honorer di daerah yang dipotong gajinya, telat gajian, https://t.co/DCpc42IN6U",negatif
"[sells, interest check]

ada yang mauu aku tag gaa buat keychain i 💖 MBG inii🫣 only 35k udah free custom, ada 3 versi juga. rencananya P.O besok nih^^

{fromlumitoyou} https://t.co/YYegV7pD8d",netral
"...Anda @Prabowo benar² presiden bangsat.

Anda pura² gak tahu bahwa upah buruh² MBG itu di bawah UMR padahal durasi kerja = buruh² pabrik.

Itu artinya uang rakyat dihamburkan untuk:

1. Menjalankan perbudakan modern
2. Memperkaya para pemilik dapur 

Presiden brengsek... (``,)",negatif
Program Makan Bergizi Gratis (MBG) mendukung pertumbuhan ekonomi lokal dan memperkuat ketahanan masyarakat melalui penguatan rantai pasok berbasis komunitas. Mari bersama kita tingkatkan kesejahteraan! https://t.co/vlUHePB0Y7,netral
"@eleanorr234 @GibraltarNc @eleanorr234 ; benar sekali ibu ini bhw uang unt bayar MBG ifu adalah uang rkyt dari pajak, non pajak, kekayaan alam milik rkyt, bukan uang probadi Presiden",negatif
@khyon09 GAUSAH KA MBG NY JALAN AJA KITA USAHAKAN VOTE BANYAJ ITU SETERUSNYA,negatif
"Makan bergizi gratis memberikan dampak nyata bagi rakyat melalui peningkatan kesehatan anak dan penguatan ekonomi lokal. MBG hadir untuk masa depan anak dengan memastikan akses gizi yang merata, sehingga kesejahteraan masyarakat terus meningkat. https://t.co/6yPZeR3PgV",positif
"Dan terJadi Lagi @menuembegejelek 
Siswa/i diSaLaH satu sekoLaH kabupaten kLaten (diDuga) keRacunan mbg. https://t.co/qIwAuVQZJG",netral
"Ada anggota @DPR_RI yang mendadak jadi si paling vokal minta Dirut KAI mundur.
Tapi entah kenapa, suaranya hilang total kalau urusannya:

• Kepala BGN, padahal ribuan kasus keracunan MBG + insentif tetap cair meski SPPG tutup
• Dirut BNI, soal pengawasan KCP Aek Nabara yang https://t.co/9GDpZQCehK",negatif
Alhamdulillah mbg kediri kabupaten bubar cah https://t.co/6edi8yfyEW,netral
"@tempodotco Hny rezim &amp; wkl rkyt (PARPOL) KORUP,BUSUK &amp; PENGGEROGOT/BENALU yg bangga peras/nikmati uang rkyt modus MBG/KOPDES.#StopMBGKopdes @PDI_Perjuangan @Gerindra @golkarpedia @DPPNasDem @PKSejahtera @DPP_PKB @PDemokrat @FraksiPAN @DPR_RI @DPDRI @MPR @kemendagri @prabowo @puanmaharani_ri https://t.co/HVgq9KyUQh",negatif
"@tempodotco tidak ada yang takut MBG berhasil. justru bagus banget jika programnya berhasil. tapi, sebagian masyarakat protes bukan karena tidak suka dengan program baik tersebut, tapi program baik yang dilakukan secara serampangan, itulah yang diprotes masyarakat.

nanti pasti akan ada",negatif
"@lusia_ann @BosPurwa Buzzer MBG belagu. Mana ada anak orkay jadi buzzer MBG?!!🤣Ortumu bloon. Palingan ortu lu bnagun jembatan di komplek monopoli. Jd ortu mcm Anies..anak2ny smart, real sekolah tinggi bermutu. N ga jadi buzzer MBG🤣😂😄😂",negatif
Saben subuh sulit sekali menahan tangis untuk sekadar merapal do'a untuk negara tercinta yang entah sampai kapan dicengkeram kuku-kuku makhluk yang tamak dan pongah.,negatif
"Nah akhirnya ada yang bersuara!
Boikot MBG! https://t.co/0IJ65Qrwbd",negatif
There's a special place in hell for those who support embiji. I truly believe that with all my heart.,positif
"@ekonomart my mbg, my bini, happy birthday! may all the good things surrounds you whenever you go 🤍",netral
"Dalam budaya Jawa ada dua istilah; Bener dan Pener. Bener itu maknanya benar saja, Pener maknanya benar dengan penuh kebijaksanaan. Pak Presiden nggak salah gelontorin duit ke rakyat, itu bener. Tapi setelah dievaluasi program MBG, ini kebijakan ndak pener.",negatif
"Marak Keracunan MBG, SPPG Purwosari Perketat Standar Kualitas Makan Bergizi Gratis | KOMPAS SIANG

https://t.co/0tV66H9YM7",netral
"Prabowo: Jangan Minder, Asing Salut dengan Skala Pengelolaan MBG Prabowo mengklaim program Makan Bergizi Gratis (MBG) menjadi sorotan global. Hal ini diungkapkannya saat memberikan sambutan dalam agenda groundbreaking 13 Proyek Hilirisasi Nasional Tahap… https://t.co/c2tgAa2gXU https://t.co/pUS4r56NMS",positif
"Tiap ada berita Ke Racun An kek giniiiii.......
Kok CEO nya Ndak pernah nongol yakkkk??? https://t.co/d8ZUV8ENYW",negatif
"@_glimpseeofus @widiilestari that's ""makanan"" makanan apa??? mbg maksud lu??? gaada sehat sehatnya yang ada gua tambah kurus",negatif
"@tempodotco dia ga mikir apa yah? katanya tiap sppg 1 sapi tapi nyatanya 2 bulan sekali, pengadaan tab, kaos kaki, motor listrik, blm lagi pembuatan apk mbg anggaran 1,2t cuma buat mantau, lahh sekelas aaa aja bisa buat game realistis cuma 800m doang",negatif
cari juga MBG: bergizinya apaan dan gratisnya di mana https://t.co/lhKUqFmyhr,negatif
"Oh, yg disebut patriotik itu adalah yg ngobral duit negara untuk MBG &amp; Kopdes, yg membiarkan warga korban bencana ekologi di Sumut, Aceh &amp; Sumbar, yg melakukan pemborosan biaya perjalanan ke luar negeri untuk omon2 dukung Trump, &amp; yg bikin nilai rupiah anjlok sampe 17.000an?? https://t.co/DxU4pmJRso",negatif
"Berarti sekarang MBG belum berhasil kan?
Yaa itu makanya dikaji bukan dipuji-puji mulu 😑",negatif
"@txtdrimedia Wkwk kemarin tetangga ku bikin status kalo tiap dapat MBG ga pernah dimakan sama anaknya, trus tadi pas lewat rumahnya dia bilang ""nanti keracunan, ati²"", btw dia orang yg suka² aja sama MBG bukan yg nentang, trus tetangga lain ada yg share menu ini, ini gimana cara makannya? https://t.co/oV9N8fTQvK",negatif
"Dari MBG hingga koperasi Desa/Kelurahan merah putih, presiden Prabowo kembalikan arus kekayaan ke Rakyat ✍️‼️

Turut Jule https://t.co/7jYc8vxWvc",netral
"Loh ini sekolah negeri?
Laporan kemaren katanya swasta.

Tapi ini kalo beneran fix negeri…
Ini rusak…

Sebenernya grass root permasalahan tipe begini banyak (ga cuma sektor pendidikan).

Banyak banget orang yang kerja tapi punya rasa kepemilikan.

Dia jadi kepsek, dia ngerasa",negatif
